Num,Clave_Nal,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Edad18,Sup18,Esc18,CRend,Crad,CCli,CPrec,CAuto,Cint
6257,MEXER2058,6.666666667,7.142857143,-0.476190476,0,80,2,0,0.1,0.007,0,100,0,0
6258,MEXER2061,20,7.142857143,12.85714286,1,68,2,6,1.9,0.052,1,-300,0,0
6259,MEXER2062,6.666666667,21.42857143,-14.76190476,0,56,2,5,-1,0,0,-300,0,0
6260,MEXER2064,6.666666667,7.142857143,-0.476190476,0,50,0.5,3,-0.1,0.007,0,-100,0,0
6261,MEXER2066,0,14.28571429,-14.28571429,0,44,0.6,2,-8.5,0,0,100,0,0
6262,MEXER2067,20,7.142857143,12.85714286,1,85,1.6,6,1.3,0.052,1,-2200,-90,0
6263,MEXER2070,13.33333333,14.28571429,-0.952380952,0,62,1.5,3,0.2,0.007,0,1500,0,0
6264,MEXER2071,6.666666667,7.142857143,-0.476190476,0,88,2,1,-1,0.007,-1,-100,80,0
6265,MEXER2075,20,7.142857143,12.85714286,1,91,2.3,6,1.5,0.03,1,-900,-80,0
6266,MEXER2077,13.33333333,0,13.33333333,1,67,2,3,-1.5,0.038,0,-400,0,0
6267,MEXER2082,13.33333333,21.42857143,-8.095238095,0,45,1,4,-0.9,0.016,0,-3000,0,0.005
6268,MEXER2084,6.666666667,28.57142857,-21.9047619,0,78,1,2,-0.5,-0.007,-1,-1900,75,0
6269,MEXER2087,13.33333333,21.42857143,-8.095238095,0,71,1.2,6,-0.6,0.038,0,-1050,0,0
6270,MEXER2088,26.66666667,50,-23.33333333,0,76,1.2,6,-0.7,0.085,0,-200,-40,0
6271,MEXER2091,20,21.42857143,-1.428571429,0,55,0.74,3,-1.3,0.03,0,2400,0,0
6272,MEXER2096,13.33333333,14.28571429,-0.952380952,0,70,0.3,1,-1,0.052,0,-300,0,0
6273,MEXER2098,6.666666667,14.28571429,-7.619047619,0,63,2,3,0.64,0.007,0,2800,0,0
6274,MEXER2100,6.666666667,14.28571429,-7.619047619,0,73,3,3,-1.5,0.007,0,-650,56,0
6275,MEXER2101,6.666666667,7.142857143,-0.476190476,0,76,1,1,-0.15,0.016,0,100,0,0
